nombre_colegio,departamento_colegio,municipio_colegio,area_colegio,sector_colegio,lectura_critica,matematicas,sociales,ciencias,ingles,global,n_estudiantes
c.e. el ramal,cauca,el tambo,rural,oficial,43.6,44.6,41.4,40.8,42.2,213,5
c.e. el recuerdo,cauca,el tambo,rural,oficial,49.8571428571429,49.1428571428572,45.2857142857143,46.2857142857143,39.2857142857143,235,7
c.e. indígena el morichal viejo,guaviare,el retorno,rural,oficial,41,31,37,34,38,180,1
c.e. los andes,cauca,el tambo,rural,oficial,36.5,46,42,47.5,31,210.5,2
c.e. luis carlos galan,sucre,sincelejo,urbano,no oficial,47.1538461538462,44.3846153846154,43,44.1538461538462,45.9230769230769,223.769230769231,13
c.e. mixto de galapa,atlantico,galapa,urbano,no oficial,63.7021276595745,62,60.9148936170213,62.468085106383,63.0638297872341,311.659574468085,47
c.e. nayita,cauca,el tambo,rural,oficial,43,40,45,40,36,208,1
c.e. pandiguando,cauca,el tambo,rural,oficial,46.5555555555556,46.7777777777778,42.1111111111111,41.8888888888889,42.6666666666667,220.888888888889,9
c.e. queridos amigos,bolivar,turbaco,urbano,no oficial,51.46875,47.96875,42,45.71875,50.96875,235.40625,32
c.e. santa rosa baja,cauca,patía,rural,oficial,47.0909090909091,45.7272727272727,43.9090909090909,45.3636363636364,40,225.272727272727,11
c.e. villa maria,antioquia,el santuario,urbano,no oficial,63,56,63,51,62,293,1
c.e.las tinas,cordoba,los córdobas,rural,oficial,49.1,49.3,39.2,49.7,45.5,233.7,10
c.e.m. la victoria,nariño,pasto,rural,oficial,47.3076923076923,54.3076923076923,39,47.5384615384615,47,235.153846153846,13
c.e.r el tarra,norte santander,ábrego,rural,oficial,51,50.3333333333333,44.3333333333333,46.6666666666667,49.6666666666667,241,3
c.e.r. la angelita,norte santander,el zulia,rural,oficial,48.2666666666667,51.3333333333333,39.4666666666667,49.2,46.2,234.933333333333,15
c.e.r.i pablos muera,antioquia,zaragoza,rural,oficial,42.6666666666667,41.6666666666667,38.3333333333333,41.6666666666667,40,205,3
c0legio cristiano la esperanza,magdalena,santa marta,urbano,no oficial,62.6849315068493,63.2876712328767,61.2328767123288,62.5890410958904,68.9178082191781,314.698630136986,73
carmen emilse de la hoz,magdalena,pivijay,urbano,no oficial,44.4444444444444,40.4444444444444,39.8888888888889,43.4444444444444,40.7777777777778,209.777777777778,9
ce bachillerato en bienestar rural -apia-,risaralda,apía,rural,oficial,40.1666666666667,35.6666666666667,37,38.3333333333333,36.6666666666667,188.666666666667,6
ce bachillerato en bienestar rural -balboa-,risaralda,balboa,rural,oficial,46,36,35.2,38,38.2,193.8,5
ce bachillerato en bienestar rural -belen de umbria-,risaralda,belén de umbría,rural,oficial,35.3333333333333,30,39,34.6666666666667,28.3333333333333,171.333333333333,3
ce bachillerato en bienestar rural -guatica-,risaralda,guática,rural,oficial,46.1666666666667,44.6666666666667,42.8333333333333,42.1666666666667,44,219.833333333333,6
ce bachillerato en bienestar rural -la celia-,risaralda,la celia,rural,oficial,47,43,42.4666666666667,42.9333333333333,42.6,218.8,15
ce bachillerato en bienestar rural -la virginia-,risaralda,la virginia,rural,oficial,50,50,48,43,46,238,1
ce bachillerato en bienestar rural -mistrato-,risaralda,mistrató,rural,oficial,42,40.4,39.6,39.2,39,201,5
ce bachillerato en bienestar rural -pueblo rico-,risaralda,pueblo rico,rural,oficial,42.65,41.6,39.3,41.95,38.75,205.9,20
ce bachillerato en bienestar rural -quinchia-,risaralda,quinchía,rural,oficial,43.6,37.7714285714286,39.0571428571429,40.9142857142857,37.1142857142857,200.428571428571,35
ce bachillerato en bienestar rural -santa rosa de cabal-,risaralda,santa rosa de cabal,rural,oficial,50.1212121212121,46.9090909090909,47,46.1515151515152,46.7272727272727,237.363636363636,33
ce bachillerato en bienestar rural -santuario-,risaralda,santuario,rural,oficial,41.3333333333333,32,38.6666666666667,38.6666666666667,36,187.666666666667,3
ce boca de bebara,choco,medio atrato,rural,oficial,41.4,41.8,35.9,41.5,36.3,199.3,10
ce boraudo,choco,lloró,rural,oficial,44.4444444444444,36.5555555555556,35.5555555555556,40.8888888888889,42.4444444444444,198.111111111111,9
ce cacique - noanama,choco,medio san juan,rural,oficial,37,34.6,34.4,38,32,178.6,5
ce caracoli alto,choco,riosucio,rural,oficial,39.3333333333333,37.9166666666667,37.4166666666667,41.0833333333333,37.4166666666667,194.083333333333,12
ce chugandi,choco,acandí,rural,oficial,38,34,35,34,28,173,1
ce cuchillo blanco,choco,belén de bajirá,rural,oficial,45.2,43.6,42,44,34.8,215.2,5
ce francisco de paula santander,choco,bajo baudó,rural,oficial,38.4444444444444,29.7777777777778,31,36.7777777777778,35.625,170.222222222222,9
ce indigena el chuscal,boyaca,cubará,rural,oficial,47.375,48.75,41.75,44.25,43.625,227,8
ce indígena amado arce,choco,el carmen de atrato,rural,oficial,32.6666666666667,23.3333333333333,28.6666666666667,33.6666666666667,,147.666666666667,3
ce indígena carecuy,choco,lloró,rural,oficial,31.7142857142857,27.5238095238095,29.1428571428571,32.1904761904762,,150.714285714286,21
ce indígena chogorokuara,choco,bojayá,rural,oficial,31.3333333333333,28,29,33.4444444444444,,152.222222222222,9
ce indígena cuna yala de arquia,choco,unguía,rural,oficial,32.75,29.3055555555556,29.0833333333333,33.6944444444444,,156,36
ce indígena de alto chitre,choco,lloró,rural,oficial,31.4444444444444,25.5555555555556,30.1851851851852,33.0740740740741,31,150.259259259259,27
ce indígena de salinas,choco,bojayá,rural,oficial,31.3333333333333,23.6666666666667,27,33,31.6666666666667,144.666666666667,3
ce indígena de tarena,choco,tadó,rural,oficial,32.4545454545455,28.4545454545455,30.8181818181818,35,33.5454545454546,159.181818181818,11
ce indígena de vacal,choco,alto baudó,rural,oficial,31.9,26.5,31.1,31,31,150.3,10
ce indígena genaro opua quiro,choco,medio san juan,rural,oficial,31.5454545454546,25.4545454545455,30.8181818181818,34.9090909090909,35.2727272727273,155.090909090909,11
ce indígena hipolito bitucay,choco,bagadó,rural,oficial,28.8125,25.6875,28.5,32.9375,32.125,146.1875,16
ce indígena isaac lana narampia,choco,río quito,rural,oficial,33.5,28.6666666666667,25.8333333333333,32.3333333333333,,150.5,6
ce indígena juan antonio chamorro,choco,alto baudó,rural,oficial,29.6666666666667,28.6666666666667,28.8333333333333,32.3333333333333,33.1666666666667,150.833333333333,6
ce indígena katio bernardo arce - ceikabal,choco,alto baudó,rural,oficial,32.1428571428572,25.4285714285714,30.5714285714286,33.8571428571429,31.4285714285714,152.857142857143,7
ce indígena leovigildo carpio tegaiza,choco,bajo baudó,rural,oficial,31.7142857142857,29,31.2857142857143,34.7142857142857,35.4285714285714,159.857142857143,7
ce indígena maria auxiliadora del brazo,choco,bahía solano,rural,oficial,33.6666666666667,25,29.8333333333333,34.3333333333333,,153.666666666667,6
ce indígena ramiro amagara de puerto samaria,choco,bajo baudó,rural,oficial,30.3333333333333,25.2777777777778,28.7777777777778,32.7222222222222,33.9411764705882,148.111111111111,18
ce indígena uldarico chiripua,choco,juradó,rural,oficial,33.375,28.875,30,35.25,33.75,160.25,8
ce indígena wouaan david gregorio,choco,el litoral del san juan,rural,oficial,34.304347826087,26.1304347826087,29.9565217391304,34.2608695652174,34.3478260869565,157.086956521739,23
ce indígena wounaan joodin gayam,choco,el litoral del san juan,rural,oficial,32.6,28.4,30.2666666666667,32.2,34.9333333333333,156,15
ce inmaculado corazon de maria,choco,bahía solano,rural,oficial,39.6,35.2,34.6666666666667,37,38.1333333333333,183.533333333333,15
ce jorge valencia lozano,choco,carmen del darién,rural,oficial,38.8181818181818,33.6363636363636,33.5454545454546,35.5454545454545,33.8181818181818,176.272727272727,11
ce manuel rodriguez,choco,lloró,rural,oficial,37,31.5,30.5,36.5,42,170.5,2
ce maria auxiliadora de cucurrupi,choco,el litoral del san juan,rural,oficial,38.6666666666667,36.7333333333333,35.4,39.2,35.6666666666667,186.933333333333,15
ce maria auxiliadora de isla mono,choco,el litoral del san juan,rural,oficial,40.5,41,39.5,38,38,198,2
