date,STOXX50E,FTSE100,FTSE250,DAX40,MDAX,TecDAX,CAC40,AEX,IBEX35,SMI
2020-04-30,2927.929931640625,5901.2001953125,16454.5,10861.6396484375,23043.69921875,2854.64990234375,4572.18017578125,512.91998291015625,6922.2998046875,9629.400390625
2014-06-23,3282.580078125,6800.60009765625,15675.2998046875,9920.919921875,16846.970703125,1322.4300537109375,4515.56982421875,415.5899963378906,11118.2880859375,8644.5703125
2023-12-20,4533.81982421875,7715.7001953125,19629.099609375,16733.05078125,27353.01953125,3337.610107421875,7583.43017578125,793.69000244140625,10101,11144.8798828125
2015-01-14,3089.669921875,6388.5,15872.099609375,9817.080078125,17264.560546875,1421.6300048828125,4223.240234375,418.3299865722656,9845.990234375,9198.2001953125
2013-07-12,2674.8701171875,6544.89990234375,14699.400390625,8212.76953125,14014.1396484375,991.67999267578125,3855.090087890625,364.9500122070313,7844.6923828125,7983.18017578125
2018-11-05,3217.3701171875,7103.7998046875,19063.69921875,11494.9599609375,24250.560546875,2647.760009765625,5101.39013671875,521.94000244140625,9010.7001953125,9008.580078125
2012-12-07,2601.3701171875,5914.39990234375,12187.599609375,7517.7998046875,11896.73046875,835.7899780273436,3605.610107421875,342.6099853515625,7848.4921875,6925.25
2019-02-21,3263.699951171875,7167.39990234375,19236.900390625,11423.2802734375,24301.560546875,2601.85009765625,5196.10986328125,540.57000732421875,9191.2001953125,9333.5703125
2011-08-15,2324.47998046875,5350.60009765625,10531.7998046875,6022.240234375,9318.1904296875,756.7100219726564,3239.06005859375,293.70001220703125,8708.9912109375,5324.72998046875
2022-01-31,4174.60009765625,7464.39990234375,21926.599609375,15471.2001953125,33321.73046875,3458.080078125,6999.2001953125,755.20001220703125,8612.7998046875,12226.7001953125
2017-09-01,3443.8798828125,7438.5,19786.19921875,12142.6396484375,24826.98046875,2310.989990234375,5123.259765625,518.17999267578125,10325.5,8941.6201171875
2022-06-30,3454.860107421875,7169.2998046875,18666.80078125,12783.76953125,25823.44921875,2885.6201171875,5922.85986328125,659.22998046875,8098.7001953125,10741.2099609375
2019-12-30,3748.469970703125,7587.10009765625,21936.30078125,13249.009765625,28312.80078125,3014.93994140625,5982.22021484375,605.83001708984375,9612.599609375,10616.9404296875
2019-12-18,3739,7540.7998046875,21663.099609375,13222.16015625,28192.359375,3032.43994140625,5959.60009765625,606.03997802734375,9621.7998046875,10556.740234375
2021-02-01,3530.85009765625,6466.39990234375,20392.599609375,13622.01953125,31441.30078125,3412.169921875,5461.68017578125,647.34002685546875,7798.2001953125,10740.2197265625
2015-03-19,3670.72998046875,6962.2998046875,17438.19921875,11899.400390625,20786.380859375,1639.72998046875,5037.18017578125,496.010009765625,11090.98828125,9328.48046875
2012-04-27,2344.02001953125,5777.10009765625,11479.7001953125,6801.31982421875,10910.1103515625,791.47998046875,3266.27001953125,310.75,7145.79248046875,6116.35986328125
2024-08-29,4966.27001953125,8379.599609375,21031.099609375,18912.5703125,25508.740234375,3403.5,7640.9501953125,923.780029296875,11358.599609375,12417.7197265625
2022-08-02,3684.6298828125,7409.10009765625,19874.099609375,13449.2001953125,27380.109375,3119.830078125,6409.7998046875,725.75,8096.89990234375,11118.099609375
