date,Bovespa,IBrX100,Merval,IPSA,IGPA,IGBC,IPC_Mexico
2019-06-10,97467,80.19999694824219,36453,5018.990234375,25531.970703125,12132.5,43609.171875
2018-02-14,83543,67.80999755859375,31551,5560.3798828125,28025.029296875,11732.33984375,48400.75
2016-06-10,49422,40.310001373291016,13324,3954.489990234375,19572.98046875,9851.830078125,45177.5
2014-05-08,53422,43.41999816894531,6815,3910.929931640625,19182.7109375,13571.400390625,41659.91015625
2016-07-21,56641,46.41999816894531,15779,4121.3701171875,20342.66015625,9846.1904296875,47364.80859375
2017-11-16,72512,59.34000015258789,27267,5314.52978515625,26788.5390625,10750.669921875,47747.69140625
2013-09-09,54252,42.349998474121094,4368,3893.530029296875,19094.859375,13892.48046875,40953.8515625
2016-12-20,57583,46.68000030517578,16064,4193.18017578125,20968.7890625,10060.58984375,44930.26953125
2016-10-07,61109,49.84000015258789,17136,4075.679931640625,20317.349609375,9964.3701171875,47596.6015625
2017-04-24,64389,52.5099983215332,21170,4849.14990234375,24347.7109375,10137.1298828125,49413.26171875
2019-01-09,93613,75.94999694824219,33769,5264.509765625,26631.560546875,11589.33984375,43648.0703125
2018-12-07,88115,71.660003662109375,31550,5094.6201171875,25878.970703125,11853.5302734375,41870.12890625
2015-12-03,46393,38.470001220703125,12920,3605.110107421875,17807.009765625,8133.56005859375,43027.30078125
2017-04-28,65403,53.349998474121094,21020,4795.1298828125,24088.630859375,10198.3896484375,49261.328125
2017-07-25,65668,53.880001068115234,21243,5033.41015625,25142.009765625,10940.7099609375,51713.37890625
2017-05-03,66094,54.06999969482422,21212,4854.8798828125,24349.259765625,10202.490234375,49099.98046875
2015-12-01,45047,37.040000915527344,12826,3633.580078125,17933.08984375,8359.9599609375,43984.8984375
2017-02-23,67461,54.77000045776367,19538,4359.1298828125,21797.220703125,10015.9404296875,47206.359375
2014-10-15,56135,44.77000045776367,9653,3791.280029296875,18655.009765625,12821.08984375,42984.94921875
2017-10-03,76763,62.36000061035156,26673,5420.14013671875,27086.9609375,11123.9296875,50615.2890625
2015-12-02,44915,36.97999954223633,12706,3605.10009765625,17808.58984375,8221.26953125,43417.05078125
2015-09-24,45292,37.470001220703125,9288,3727.389892578125,18266.26953125,9303.5,42596.55859375
2019-04-01,96054,78.29000091552734,33007,5256.669921875,26649.83984375,13037.5703125,43672.05859375
2019-01-10,93806,76.44999694824219,34168,5297.9501953125,26795.76953125,11628.48046875,43668.94921875
2015-08-26,46038,38.08000183105469,10290,3677.39990234375,18013.7890625,8892.5595703125,42323.0390625
2016-06-30,51527,42.18000030517578,14684,3995.909912109375,19725.529296875,9762.5703125,45966.48828125
2013-06-12,49181,39.41999816894531,3237,3924.429931640625,19576.849609375,13090.6396484375,39480.3515625
2018-05-29,76072,61.619998931884766,28326,5494.509765625,27830.220703125,12205.7197265625,44647.37109375
2016-05-18,50562,41.15999984741211,12830,3966.449951171875,19510.5703125,9866.8203125,45551.19921875
2016-02-29,42794,35.29999923706055,13116,3715.840087890625,18259.19921875,9189.259765625,43714.9296875
2014-06-26,53506,43.560001373291016,7821,3886.909912109375,18954,14180.990234375,42613.80078125
2018-08-09,78768,64,26906,5294.22021484375,26790.140625,12080.330078125,49244.3984375
2014-01-13,49427,40.439998626708984,5571,3618.800048828125,17907.76953125,12552.9501953125,42158.62109375
2014-11-26,55098,44.689998626708984,10125,3962.080078125,19326.619140625,12510.5,44672.19921875
2017-08-16,68594,56.31999969482422,22888,5110.669921875,25501.51953125,10855.5498046875,51156.671875
2018-04-04,84360,68.279998779296875,31319,5542.7900390625,27759.849609375,11712.599609375,47457.4609375
2014-05-27,52172,42.41999816894531,7572,3930.02001953125,19222.73046875,13636.7099609375,41958.96875
2016-08-25,57722,47.20000076293945,15901,4153.02001953125,20576.359375,10090.740234375,47734.19921875
2014-10-20,54303,44.150001525878906,11093,3757.110107421875,18526.689453125,13214.83984375,43213.8984375
2016-01-29,40406,33.58000183105469,11306,3705.919921875,18243.4609375,8596.0498046875,43630.76953125
2014-03-11,45698,37.72999954223633,5754,3659.300048828125,18104.76953125,12922.66015625,38689.5703125
2017-11-24,74157,60.5099983215332,27465,5040.509765625,25366.80078125,10852.6396484375,47941.87890625
2013-07-15,46739,38.29999923706055,3349,3806.919921875,18874.69921875,13048.2197265625,40322.3203125
2018-04-26,86383,69.94000244140625,29488,5679.64990234375,28533.189453125,12270.8203125,48297.7109375
2016-06-16,49412,40.220001220703125,13073,3963.300048828125,19603.55078125,9743.25,45225.3984375
2014-09-03,61837,49.849998474121094,10438,4094.64990234375,19813.98046875,14675.2197265625,46049.328125
2015-02-11,48240,39.290000915527344,9119,3920.449951171875,19092.150390625,10555.0498046875,41933.26171875
2014-05-23,52626,42.90999984741211,7447,3960.06005859375,19336.890625,13650.83984375,41917.921875
2017-07-31,65920,54.04999923706055,21582,5064.6201171875,25312.8203125,10956.240234375,51011.87109375
2015-10-20,47077,39.11000061035156,11069,3822.330078125,18730.759765625,9472.51953125,44653.859375
2016-12-07,61414,49.66999816894531,17197,4224.669921875,21075.859375,9798,45609.8984375
2019-02-15,97526,79.5999984741211,37470,5399.830078125,27299.01953125,12098.7197265625,42988.71875
2019-04-26,96236,78.69999694824219,30001,5191.7001953125,26334.4296875,12921.83984375,44974.96875
2018-08-31,76678,62.29999923706055,29294,5270.43017578125,26589.849609375,12254.8798828125,49547.6796875
2014-07-07,53802,43.709999084472656,8152,3882.169921875,18905.029296875,14056.75,43452.55078125
2018-02-09,80899,65.4800033569336,30143,5549.14990234375,28011.2109375,11567.580078125,47799.08984375
2017-08-23,70478,57.66999816894531,23262,5127.93017578125,25613.970703125,10974.98046875,51280.171875
2019-02-14,98015,79.12999725341797,37386,5376.39013671875,27213.19921875,12002.1396484375,42725.21875
2016-08-09,57689,47.27000045776367,15455,4148.259765625,20494.150390625,9752.1396484375,47630.37109375
2017-09-15,75757,61.97999954223633,23716,5202.0498046875,25973.23046875,11159.2001953125,49921.83984375
2015-09-10,46504,38.130001068115234,11070,3763.590087890625,18393.3203125,9609.3896484375,42888.51171875
2019-02-20,96545,78.8499984741211,36504,5410.5,27337.33984375,12008.2001953125,43178
2017-05-24,63257,52,21685,4871.33984375,24440.830078125,10757.919921875,49494.3984375
2015-06-02,54236,44.20000076293945,11485,3986.110107421875,19410.060546875,10240,44931.48046875
2018-12-28,87887,71.6500015258789,30293,5105.43017578125,25949.83984375,11144.080078125,41459.1484375
2016-02-22,43235,35.83000183105469,12526,3754.409912109375,18407.7109375,9056.3798828125,43546.71875
2016-04-27,54478,44.029998779296875,13742,3979.580078125,19557.900390625,10086.7099609375,45941.51953125
2018-04-27,86445,69.95999908447266,30006,5690.47998046875,28582.25,12421.5703125,48284.609375
2013-07-22,48574,38.970001220703125,3451,3859.919921875,19141.029296875,13333.48046875,40117.671875
2016-01-27,38376,31.31999969482422,10787,3546.199951171875,17547.630859375,8430.7099609375,42109.890625
2016-11-18,59962,48.72999954223633,16385,4185.77978515625,20935.630859375,9694.7900390625,44364.171875
2015-06-25,53176,43.45000076293945,11453,3860.330078125,18836.75,10204.2998046875,45377.12109375
2015-01-27,48591,39.650001525878906,9015,3852.7099609375,18848.109375,10832.4501953125,42627.8203125
2014-12-09,50193,40.470001220703125,8889,3911.27001953125,19136.7109375,11423.509765625,42339.62890625
2019-01-15,94056,76.75,33563,5373.919921875,27134.509765625,11663.0400390625,43603.62109375
2017-01-12,63954,51.970001220703125,18591,4234.9501953125,21103.91015625,10243.1396484375,46060.98046875
2015-06-03,53523,43.720001220703125,11200,3994.4599609375,19449.369140625,10262.7099609375,44732.71875
2014-01-22,49300,39.689998626708984,5897,3700.080078125,18248.41015625,12566.0595703125,42062.8203125
2014-07-31,55829,45.18000030517578,8188,3875.43994140625,18945.8203125,13968.0595703125,43817.69140625
2016-11-22,61954,50.11000061035156,17307,4216.6201171875,21032.330078125,9697.4501953125,44838.76171875
2018-02-22,86686,70,33125,5726.08984375,28711.5703125,11869.75,48969.640625
