date,Nikkei225,TOPIX,HangSeng,HSCEI,CSI300,SHComposite,SZComponent,KOSPI,Nifty50,BSE_Sensex
2021-04-08,29708.98046875,1951.8599853515625,29008.0703125,11109.48046875,5112.2099609375,3482.550048828125,13989.9404296875,3143.260009765625,14873.7998046875,49746.2109375
2021-05-06,29331.369140625,1927.4000244140625,28637.4609375,10756.3701171875,5061.1201171875,3441.280029296875,14210.599609375,3160.429931640625,14724.7998046875,48949.76171875
2021-03-19,29792.05078125,2012.2099609375,28990.939453125,11283.919921875,5007.08984375,3404.659912109375,13606,3039.530029296875,14744,49858.23828125
2021-07-29,27782.419921875,1927.4300537109375,26315.3203125,9415.6904296875,4850.27001953125,3411.719970703125,14515.3203125,3242.64990234375,15778.4501953125,52653.0703125
2021-06-28,29048.01953125,1965.6700439453125,29268.30078125,10863.5703125,5251.759765625,3606.3701171875,15150.169921875,3301.889892578125,15814.7001953125,52735.58984375
2021-04-19,29685.369140625,1956.56005859375,29106.150390625,11092.9501953125,5087.02001953125,3477.550048828125,14117.7998046875,3198.840087890625,14359.4501953125,47949.421875
2021-08-06,27820.0390625,1929.3399658203125,26179.400390625,9273.5498046875,4921.56005859375,3458.22998046875,14827.41015625,3270.360107421875,16238.2001953125,54277.71875
2021-05-24,28364.609375,1913.0400390625,28412.259765625,10641.400390625,5155.58984375,3497.280029296875,14506.6103515625,3144.300048828125,15197.7001953125,50651.8984375
2021-06-07,29019.240234375,1960.8499755859375,28787.279296875,10748.2001953125,5277.6298828125,3599.5400390625,14862.599609375,3252.1201171875,15751.650390625,52328.51171875
2021-04-09,29768.060546875,1959.469970703125,28698.80078125,10977.3701171875,5035.33984375,3450.679931640625,13813.3095703125,3131.8798828125,14834.849609375,49591.3203125
2021-07-02,28783.279296875,1956.31005859375,28310.419921875,10415.580078125,5081.1201171875,3518.760009765625,14670.7099609375,3281.780029296875,15722.2001953125,52484.671875
2021-03-17,29914.330078125,1984.030029296875,29034.119140625,11358.66015625,5100.85986328125,3445.551025390625,13809.76953125,3047.5,14721.2998046875,49801.62109375
2021-07-13,28718.240234375,1967.6400146484375,27963.41015625,10113.3203125,5142.10009765625,3566.52001953125,15189.2900390625,3271.3798828125,15812.349609375,52769.73046875
2021-06-29,28812.609375,1949.47998046875,28994.099609375,10757.2998046875,5190.5400390625,3573.179931640625,14999.7998046875,3286.679931640625,15748.4501953125,52549.66015625
2021-06-17,29018.330078125,1963.5699462890625,28558.58984375,10589.669921875,5101.89013671875,3525.60009765625,14472.3701171875,3264.9599609375,15691.400390625,52323.328125
2021-04-15,29642.689453125,1959.1300048828125,28793.140625,10905.8896484375,4948.97021484375,3398.989990234375,13680.26953125,3194.330078125,14581.4501953125,48803.6796875
2021-09-02,28543.509765625,1983.5699462890625,26090.4296875,9341.2998046875,4869.41015625,3597.0400390625,14277.33984375,3175.85009765625,17234.150390625,57852.5390625
2021-06-22,28884.130859375,1959.530029296875,28309.759765625,10469.7998046875,5122.16015625,3557.409912109375,14696.2900390625,3263.8798828125,15772.75,52588.7109375
2021-08-25,27724.80078125,1935.6600341796875,25693.94921875,9076.0302734375,4898.16015625,3540.3798828125,14697.5,3146.81005859375,16634.650390625,55944.2109375
2021-06-03,29058.109375,1958.699951171875,28966.029296875,10826.7802734375,5255.2900390625,3584.2099609375,14761.1298828125,3247.429931640625,15690.349609375,52232.4296875
2021-07-15,28279.08984375,1939.6099853515625,27996.26953125,10174.26953125,5151.4599609375,3564.590087890625,15169.330078125,3286.219970703125,15924.2001953125,53158.8515625
2021-03-16,29921.08984375,1981.5,29027.689453125,11329.4296875,5079.35986328125,3446.73291015625,13642.9501953125,3067.169921875,14910.4501953125,50363.9609375
2021-06-01,28814.33984375,1926.1800537109375,29468,10990.75,5341.68017578125,3624.7099609375,15034.7802734375,3221.8701171875,15574.849609375,51934.87890625
2021-08-27,27641.140625,1928.77001953125,25407.890625,8957.8095703125,4827.0400390625,3522.156982421875,14436.900390625,3133.89990234375,16705.19921875,56124.71875
2021-06-25,29066.1796875,1962.6500244140625,29288.220703125,10878.4501953125,5239.97021484375,3607.56005859375,15003.849609375,3302.840087890625,15860.349609375,52925.0390625
2021-06-30,28791.529296875,1943.5699462890625,28827.94921875,10663.3896484375,5224.0400390625,3591.199951171875,15161.7001953125,3296.679931640625,15721.5,52482.7109375
2021-06-08,28963.560546875,1962.6500244140625,28781.380859375,10729.51953125,5232.1201171875,3580.110107421875,14716.98046875,3247.830078125,15740.099609375,52275.5703125
2021-05-25,28553.98046875,1919.52001953125,28910.859375,10792.6298828125,5318.47998046875,3581.340087890625,14846.4501953125,3171.320068359375,15208.4501953125,50637.53125
2021-08-20,27013.25,1880.6800537109375,24849.720703125,8742.4404296875,4769.27001953125,3427.333984375,14253.5302734375,3060.510009765625,16450.5,55329.3203125
