date,S&P500,S&P100,S&P400,DJI,DJT,DJU,NSDQComp,NSDQ100,RUI,RUT,RUA,W5000
2023-04-21,4133.52001953125,1888.300048828125,2498.830078125,33808.9609375,14413.580078125,969.34002685546875,12072.4599609375,13000.76953125,2262.830078125,1791.510009765625,2374.820068359375,40845.91015625
2013-02-06,1512.1199951171875,681.030029296875,1104.3199462890625,13986.51953125,5873.27001953125,473.3900146484375,3168.47998046875,2746.35009765625,839.760009765625,911.2899780273436,900.42999267578125,15974.2197265625
2020-10-13,3511.929931640625,1628.5,1993.0699462890625,28679.810546875,11783.2197265625,876.04998779296875,11863.900390625,12083.169921875,1962.4000244140625,1636.8499755859375,2066.5400390625,36259.03125
2017-04-05,2352.949951171875,1043.7099609375,1694.7900390625,20648.150390625,9095.98046875,704.16998291015625,5864.47998046875,5418.52001953125,1303.5699462890625,1352.1400146484375,1392.4599609375,24476.060546875
2019-05-24,2826.06005859375,1250.6700439453125,1862.8299560546875,25585.689453125,10137.58984375,804.7100219726564,7637.009765625,7300.9599609375,1564.780029296875,1514.1099853515625,1663.3599853515625,29147.58984375
2018-10-23,2740.68994140625,1225.8199462890625,1844.72998046875,25191.4296875,10237.01953125,737.0399780273436,7437.5400390625,7118.669921875,1513.97998046875,1526.5899658203125,1614.030029296875,28279.619140625
2021-05-06,4201.6201171875,1908.27001953125,2739.429931640625,34548.53125,15724.41015625,908.82000732421875,13632.83984375,13613.73046875,2358.35009765625,2241.419921875,2503.360107421875,43723.921875
2012-11-15,1353.3299560546875,616.6300048828125,945.9600219726564,12542.3798828125,4913.89990234375,438.0499877929687,2836.93994140625,2524.360107421875,747.4600219726564,769.47998046875,798.2899780273436,14126.2099609375
2020-01-23,3325.5400390625,1487.219970703125,2086.860107421875,29160.08984375,11143.419921875,928.57000732421875,9402.48046875,9216.98046875,1838.3499755859375,1685.010009765625,1947.1300048828125,33862.46875
2018-12-26,2467.699951171875,1096.949951171875,1639.780029296875,22878.44921875,9102.1201171875,703.510009765625,6554.35986328125,6262.77001953125,1362.47998046875,1329.81005859375,1449.1600341796875,25366.849609375
2015-07-28,2093.25,928.010009765625,1479.8299560546875,17630.26953125,8278.6103515625,573.29998779296875,5089.2099609375,4560.22998046875,1166.4200439453125,1224.5999755859375,1247.2900390625,22027.650390625
2019-02-21,2774.8798828125,1217.43994140625,1918.3599853515625,25850.630859375,10632.490234375,750.95001220703125,7459.7099609375,7035.16015625,1539.6700439453125,1575.550048828125,1643.22998046875,28799.30078125
2020-04-27,2878.47998046875,1320.1300048828125,1613.530029296875,24133.779296875,8317.419921875,805.79998779296875,8730.16015625,8837.66015625,1582.18994140625,1281.8800048828125,1663.3499755859375,28990.130859375
2022-05-10,4001.050048828125,1828.9200439453125,2389.580078125,32160.740234375,14462.2802734375,984.22998046875,11737.669921875,12345.8603515625,2192.989990234375,1761.7900390625,2303.280029296875,39634.16015625
2024-11-29,6032.3798828125,2902.889892578125,3366.179931640625,44910.6484375,17618.630859375,1078.949951171875,19218.169921875,20930.369140625,3317.3798828125,2434.72998046875,3466.85009765625,60880.73828125
2020-01-02,3257.85009765625,1458.1300048828125,2065.18994140625,28868.80078125,10994.3095703125,866.82000732421875,9092.1904296875,8872.2197265625,1798.719970703125,1666.77001953125,1906.5,33142.19921875
